carbon_source,ci_75th_lower_mM,ci_75th_upper_mM,ci_95th_lower_mM,ci_95th_upper_mM,compound_turnover,mean_val_mM,median_val_mM,od_600nm,replicate,strain
acetate,0.08635994999999999,1.2993712499999999,-0.0772092825,1.8860562499999998,acetate,0.6794839360929358,0.6219375,0.105,1.0,REL606
acetate,0.032106949999999995,1.2307549999999998,-0.1441895,1.7990009999999996,acetate,0.6193628150005012,0.570564,0.149,1.0,REL606
acetate,-0.03889139999999999,1.1395862499999998,-0.22635132500000002,1.6990727500000002,acetate,0.5402940044368424,0.49987800000000004,0.19399999999999998,1.0,REL606
acetate,-0.043414549999999996,1.132795,-0.2315215,1.69469,acetate,0.5359196781616422,0.496838,0.213,1.0,REL606
acetate,0.0887392125,1.3036325,-0.0735546325,1.8912319999999998,acetate,0.6839528998743964,0.626074,0.095,2.0,REL606
acetate,0.039302775,1.2391174999999999,-0.1376227,1.8082124999999998,acetate,0.6266080294501387,0.576739,0.133,2.0,REL606
acetate,0.0188681,1.2105650000000001,-0.15873325,1.7771865,acetate,0.6026470066302986,0.554467,0.151,2.0,REL606
acetate,0.00198451,1.1905124999999999,-0.17791999999999997,1.7499139999999997,acetate,0.5843556950177938,0.537133,0.174,2.0,REL606
acetate,0.0774547375,1.2858550000000002,-0.088991825,1.8688107499999989,acetate,0.6691251419285359,0.6125615,0.107,3.0,REL606
acetate,0.02505775,1.22244,-0.15127020000000002,1.788995,acetate,0.6114536113486242,0.562756,0.155,3.0,REL606
acetate,-0.0289339,1.14996,-0.21537689999999998,1.7100919999999995,acetate,0.5503931306119324,0.505995,0.19899999999999998,3.0,REL606
acetate,-0.0560190375,1.11898125,-0.246717425,1.6796917500000001,acetate,0.5234341440518784,0.4875115,0.22,3.0,REL606
acetate,0.0770274,1.28525,-0.08982281,1.867484249999999,acetate,0.6678654402122624,0.611308,0.102,4.0,REL606
acetate,0.0116309,1.20091,-0.16593419999999998,1.7638780000000003,acetate,0.5946413344235877,0.548159,0.161,4.0,REL606
acetate,-0.013369725,1.1695,-0.19621650000000002,1.7297214999999997,acetate,0.5674184881577709,0.523721,0.185,4.0,REL606
acetate,-0.0343727,1.14516,-0.220889,1.7044059999999996,acetate,0.5457569713380166,0.503267,0.205,4.0,REL606
glucose,-0.0037425,0.172600375,-0.0145285275,0.18847425,acetate,0.04190938180165054,0.004660655,0.102,1.0,REL606
glucose,0.0031440425,0.375131,-0.005101380500000001,0.39199649999999997,acetate,0.09846768339833159,0.012116,0.153,1.0,REL606
glucose,0.005339865,0.43491375,-0.002736213499999999,0.4522043,acetate,0.11529943655512881,0.014419,0.205,1.0,REL606
glucose,0.00786193625,0.5116609999999999,0.0001277967500000001,0.529233575,acetate,0.13711199011824673,0.01749365,0.251,1.0,REL606
glucose,0.012306925,0.659455,0.0054191375,0.67870375,acetate,0.17737235802273446,0.0232652,0.297,1.0,REL606
glucose,0.015742850000000003,0.7750845,0.008813699,0.7958993,acetate,0.21056660839847144,0.0281036,0.35200000000000004,1.0,REL606
glucose,0.0170506,0.820271,0.010107499999999998,0.8413653999999999,acetate,0.2235411815999493,0.0300538,0.391,1.0,REL606
glucose,-0.003215375,0.18769249999999998,-0.01370466,0.2035724,acetate,0.045933513016246125,0.00512888,0.098,2.0,REL606
glucose,-0.0016051975000000002,0.23517112499999998,-0.011387755,0.251376325,acetate,0.059320379089921244,0.00679158,0.153,2.0,REL606
