,elapsed_time_hr,od_600nm,replicate,time_idx
0,0.0,0.105,1,1
1,0.4166666666666667,0.114,1,0
2,0.8,0.121,1,0
3,1.2166666666666666,0.133,1,0
4,1.6,0.149,1,2
5,2.25,0.18,1,0
6,2.6,0.193,1,0
7,2.816666666666667,0.19399999999999998,1,3
8,3.216666666666667,0.213,1,4
0,0.0,0.095,2,1
1,0.43333333333333335,0.106,2,0
2,0.8333333333333334,0.115,2,0
3,1.4666666666666666,0.133,2,2
4,1.8,0.14300000000000002,2,0
5,2.033333333333333,0.151,2,3
6,2.4166666666666665,0.174,2,4
0,0.0,0.107,3,1
1,0.4166666666666667,0.11199999999999999,3,0
2,0.8,0.122,3,0
3,1.2333333333333334,0.133,3,0
4,1.6333333333333333,0.155,3,2
5,2.25,0.177,3,0
6,2.6,0.188,3,0
7,2.8333333333333335,0.19899999999999998,3,3
8,3.216666666666667,0.22,3,4
0,0.0,0.094,4,0
1,0.4,0.102,4,1
2,0.8,0.114,4,0
3,1.2166666666666666,0.126,4,0
4,1.6333333333333333,0.13699999999999998,4,0
5,2.25,0.161,4,2
6,2.5833333333333335,0.17300000000000001,4,0
7,2.8333333333333335,0.185,4,3
8,3.2,0.205,4,4
