#
# 2021-04-07_REL606_replicate_001_timepoint_001
# ------------------------------
# Acquired: 4/28/2021 10:55:20 AM
# Converted: 04/29/2021 11:04:20 AM
# Vial: 1
# Injection Volume: 20 uL
# Sample ID: 001
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,124,B
0.008329999999999999,124,B
0.016669999999999997,1,B
0.025,3,B
0.03333,4,B
0.04167,6,B
0.05,7,B
0.05832999999999999,8,B
0.06667000000000001,9,B
0.075,10,B
0.08333,11,B
0.09167,12,B
0.1,13,B
0.10833,13,B
0.11667000000000001,14,B
0.125,15,B
0.13333,16,B
0.14167000000000002,17,B
0.15,18,B
0.15833,19,B
0.16667,19,B
0.175,19,B
0.18333,19,B
0.19167,19,B
0.2,20,B
0.20833000000000002,20,B
0.21666999999999997,21,B
0.225,21,B
0.23333,22,B
0.24166999999999997,22,B
0.25,22,B
0.25833,22,B
0.26666999999999996,22,B
0.275,23,B
0.28333,23,B
0.29167,23,B
0.3,23,B
0.30833,23,B
0.31667,23,B
0.325,23,B
0.33333,23,B
0.34167,23,B
0.35,23,B
0.35833000000000004,23,B
0.36667,23,B
0.375,23,B
0.38333,23,B
0.39166999999999996,23,B
0.4,23,B
0.40833,23,B
0.41667,23,B
0.425,23,B
0.43333,23,B
0.44167,23,B
0.45,23,B
0.45833,22,B
0.46667,22,B
0.475,21,B
0.48333000000000004,21,B
0.49167,21,B
0.5,21,B
0.5083300000000001,21,B
0.51667,21,B
0.525,21,B
0.53333,21,B
0.54167,21,B
0.55,21,B
0.55833,21,B
0.56667,20,B
0.575,20,B
0.58333,20,B
0.59167,19,B
0.6,18,B
0.60833,18,B
0.6166699999999999,17,B
0.625,17,B
0.6333300000000001,17,B
0.64167,17,B
0.65,17,B
0.65833,17,B
0.66667,16,B
0.675,16,B
0.68333,16,B
0.69167,16,B
0.7,15,B
0.70833,15,B
0.71667,14,B
0.725,14,B
0.73333,13,B
0.7416699999999999,13,B
0.75,13,B
0.7583300000000001,12,B
0.76667,12,B
0.775,12,B
0.78333,11,B
0.79167,11,B
0.8,10,B
0.80833,10,B
0.81667,10,B
0.825,9,B
0.8333299999999999,9,B
0.84167,9,B
0.85,8,B
0.8583299999999999,7,B
0.86667,7,B
0.875,6,B
0.88333,6,B
0.8916700000000001,5,B
0.9,5,B
0.90833,5,B
0.9166700000000001,4,B
0.925,4,B
0.9333299999999999,4,B
0.9416700000000001,3,B
0.95,3,B
0.9583299999999999,2,B
0.96667,2,B
0.975,2,B
0.9833299999999999,2,B
0.99167,1,B
1.0,1,B
1.00833,0,B
1.01667,-1,B
1.025,-1,B
1.0333299999999999,-2,B
1.04167,-2,B
1.05,-3,B
1.05833,-3,B
1.06667,-4,B
1.075,-4,B
1.08333,-5,B
1.0916700000000001,-5,B
1.1,-6,B
1.10833,-6,B
1.11667,-7,B
1.125,-7,B
1.13333,-8,B
1.14167,-9,B
1.15,-9,B
